ID_yr,Site,Year,Species,Treatment,spp_trt,Phytometer,Neighbour,light,carbon,WUE,gs
PTY5CU_2016,PTY5CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,100,1.1,1.15,23
PTY5CU_2016,PTY5CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,50,0.5,0.54,21
PTY5CU_2016,PTY5CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,0,0.2,0.25,17
PTY6_2016,PTY6,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,1500,22.1,3,294
PTY6_2016,PTY6,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,1000,21,3.1,256
PTY6_2016,PTY6,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,500,17.6,2.8,245
PTY6_2016,PTY6,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,200,11.8,2.1,184
PTY6_2016,PTY6,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,100,8.9,1.6,173
PTY6_2016,PTY6,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,50,7,1.6,143
PTY6_2016,PTY6,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,0,5.5,1.3,122
PTY6CU_2016,PTY6CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,1500,19.6,3.18,255
PTY6CU_2016,PTY6CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,1000,16.9,3.29,224
PTY6CU_2016,PTY6CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,500,14.6,2.8,225
PTY6CU_2016,PTY6CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,200,7.2,1.56,191
PTY6CU_2016,PTY6CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,100,4.4,1.23,145
PTY6CU_2016,PTY6CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,50,1.4,0.45,107
PTY6CU_2016,PTY6CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,0,1.9,0.69,100
TYP4_2016,TYP4,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,1500,15.9,2.6,255
TYP4_2016,TYP4,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,1000,15.3,2.49,253
TYP4_2016,TYP4,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,500,11.4,1.93,236
TYP4_2016,TYP4,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,200,5,0.88,218
TYP4_2016,TYP4,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,100,1.8,0.34,213
TYP4_2016,TYP4,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,50,0.3,0.06,199
TYP4_2016,TYP4,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,0,0.9,0.23,139
TYP4CU_2016,TYP4CU,2016,Typha,No competition,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,1500,16.1,2.17,395
TYP4CU_2016,TYP4CU,2016,Typha,No competition,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,1000,16.5,2.13,393
TYP4CU_2016,TYP4CU,2016,Typha,No competition,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,500,12.8,1.58,400
TYP4CU_2016,TYP4CU,2016,Typha,No competition,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,200,5,0.63,367
TYP4CU_2016,TYP4CU,2016,Typha,No competition,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,100,1.3,0.19,348
